"('Roman V. Yampolskiy', 13)"
"('Qinghua Lu', 13)"
"('Jon Whittle', 12)"
"('Liming Zhu', 11)"
"('Abhishek Gupta', 10)"
"('Xiwei Xu', 10)"
"('Kai-Kristian Kemell', 9)"
"('Ville Vakkuri', 9)"
"('Q. Vera Liao', 9)"
"('Lance Eliot', 7)"
"('Pekka Abrahamsson', 7)"
"('Subbarao Kambhampati', 7)"
"('Thilo Hagendorff', 6)"
"('Gagan Bansal', 6)"
"('Allan Dafoe', 6)"
"('Niklas Kühl', 6)"
"('Michael Vössing', 6)"
"('Michael Muller', 6)"
"('Jonas Schuett', 6)"
"('Iason Gabriel', 5)"
"('Dylan Hadfield-Menell', 5)"
"('Gopal P. Sarma', 5)"
"('Roman Yampolskiy', 5)"
"('Daniel S. Weld', 5)"
"('Markus Anderljung', 5)"
"('Zhenchang Xing', 5)"
"('Besmira Nushi', 5)"
"('Patrick Hemmer', 5)"
"('Max Schemmer', 5)"
"('Gerhard Satzger', 5)"
"('Agi Kurucz', 5)"
"('Erika Halme', 4)"
"('Marianna Jantunen', 4)"
"('Sarath Sreedharan', 4)"
"('Nadisha-Marie Aliman', 4)"
"('Leon Kester', 4)"
"('Koen Holtman', 4)"
"('Nick J. Hay', 4)"
"('Camylle Lanteigne', 4)"
"('Francesco Sovrano', 4)"
"('Conrad Sanderson', 4)"
"('Jess Whittlestone', 4)"
"('Wei Xu', 4)"
"('Upol Ehsan', 4)"
"('Safinah Ali', 4)"
"('Connor Wright', 4)"
"('Marianna Bergamaschi Ganapini', 4)"
"('Renjie Butalid', 4)"
"('Masa Sweidan', 4)"
"('Ece Kamar', 4)"
"('Eric Horvitz', 4)"
"('Kenneth Holstein', 4)"
"('Tianming Liu', 4)"
"('Michaela Benk', 3)"
"('Kush R. Varshney', 3)"
"('Jani Antikainen', 3)"
"('Mamia Agbese', 3)"
"('Hanna-Kaisa Alanen', 3)"
"('Rebekah Rousi', 3)"
"('Stuart Armstrong', 3)"
"('Lionel Nganyewou Tidjon', 3)"
"('Foutse Khomh', 3)"
"('James D. Miller', 3)"
"('Nardine Osman', 3)"
"('Tae Wan Kim', 3)"
"('Thomas Donaldson', 3)"
"('John Hooker', 3)"
"('Virginia Dignum', 3)"
"('Bao-quan Ai', 3)"
"('Xuemin', 3)"
"('Shen', 3)"
"('Fabio Vitali', 3)"
"('Mark Riedl', 3)"
