Anton Korinek
Avital Balwit
Shai Shalev-Shwartz
Shaked Shammah
Amnon Shashua
Pei-Yu Chen
Myrthe L. Tielman
Dirk K. J. Heylen
Catholijn M. Jonker
M. Birna van Riemsdijk
Matti Mäntymäki
Matti Minkkinen
Teemu Birkstedt
Mika Viljanen
Iason Gabriel
Catalin Mitelut
Ben Smith
Peter Vamplew
John Nay
James Daily
Shubao Zhang
Iason Gabriel
Vafa Ghazavi
Dylan Hadfield-Menell
Gillian Hadfield
Evan Hubinger
Michaela Benk
Suzanne Tolmeijer
Florian von Wangenheim
Andrea Ferrario
Betty Li Hou
Brian Patrick Green
Willem van der Maden
Derek Lomas
Paul Hekkert
Travis LaCroix
Baihan Lin
Djallel Bouneffouf
Guillermo Cecchi
Kush R. Varshney
Thilo Hagendorff
Sarah Fabi
Jani Antikainen
Mamia Agbese
Hanna-Kaisa Alanen
Erika Halme
Hannakaisa Isomäki
Marianna Jantunen
Kai-Kristian Kemell
Rebekah Rousi
Heidi Vainio-Pekka
Ville Vakkuri
Rebecca Gorman
Stuart Armstrong
Xingqin Lin
Yoon Kyung Lee
Yong-Ha Park
Sowon Hahn
Pedro Fernandes
Francisco C. Santos
Manuel Lopes
Roman V. Yampolskiy
Gopal P. Sarma
Anthony Aguirre
Gaia Dempsey
Harry Surden
Peter B. Reiner
Malek Mechergui
Sarath Sreedharan
Lance Eliot
Lance Eliot
Travis LaCroix
Alexandra Sasha Luccioni
Jakob Schoeffer
Maria De-Arteaga
Niklas Kuehl
Nadisha-Marie Aliman
Leon Kester
Lionel Nganyewou Tidjon
Foutse Khomh
Na Zhang
Kun Yue
Chao Fang
Koen Holtman
Jan H. Kirchner
Logan Smith
Jacques Thibodeau
Kyle McDonell
Laria Reynolds
Gopal P. Sarma
Adam Safron
Nick J. Hay
Lambert Hogenhout
Tom Williams
Ruchen Wen
Raphael Koster
Jan Balaguer
Andrea Tacchetti
Ari Weinstein
Tina Zhu
Oliver Hauser
Duncan Williams
Lucy Campbell-Gillingham
Phoebe Thacker
Matthew Botvinick
Christopher Summerfield
Abhishek Gupta
Camylle Lanteigne
James D. Miller
Roman Yampolskiy
Olle Haggstrom
Stuart Armstrong
Naman Shah
Pulkit Verma
Trevor Angle
Siddharth Srivastava
Dian Tjondronegoro
Elizabeth Yuwono
Brent Richards
Damian Green
Siiri Hatakka
Mustafa Mert Çelikok
Frans A. Oliehoek
Samuel Kaski
Ville Vakkuri
Kai-Kristian Kemell
Pekka Abrahamsson
Julius Schöning
Adrian Riechmann
Hans-Jürgen Pfisterer
Xingqin Lin
Lopamudra Kundu
Chris Dick
Soma Velayutham
Stephen McAleese
Balint Gyevnar
Nick Ferguson
Burkhard Schafer
Nardine Osman
Mark d'Inverno
Elizabeth Bondi
Lily Xu
Diana Acosta-Navas
Jackson A. Killian
Francesco Sovrano
Giulio Masetti
Lee Sharkey
Gopal P. Sarma
Nick J. Hay
Zhiqing Sun
Yikang Shen
Qinhong Zhou
Hongxin Zhang
Zhenfang Chen
David Cox
Yiming Yang
Chuang Gan
Ville Vakkuri
Kai-Kristian Kemell
Pekka Abrahamsson
Daniel Estrada
Vincent J. Straub
Deborah Morgan
Jonathan Bright
Helen Margetts
Mislav Juric
Agneza Sandic
Mario Brcic
Kathrin Blagec
Jakob Kraiger
Wolfgang Frühwirt
Matthias Samwald
Kyle A. Kilian
Christopher J. Ventura
Mark M. Bailey
Isabelle Hupont
David Fernández-Llorca
Sandra Baldassarri
Emilia Gómez
J. G. Wolff
John J. Nay
Nardine Osman
Mark d'Inverno
Rafał Muszyński
Jun Wang
Tae Wan Kim
Thomas Donaldson
John Hooker
Yitzhak Spielberg
Amos Azaria
Yupan Huang
Tengchao Lv
Lei Cui
Yutong Lu
Furu Wei
Alexander Matt Turner
Jakob Mokander
Luciano Floridi
Thomas Y. Chen
Virginia Dignum
Ekaterina Nikonova
Cheng Xue
Vimukthini Pinto
Chathura Gamage
Peng Zhang
Jochen Renz
John Dickerson
Bistra Dilkina
Yu Ding
Swati Gupta
Pascal Van Hentenryck
Sven Koenig
Ramayya Krishnan
Radhika Kulkarni
Catherine Gill
Haley Griffin
Maddy Hunter
Ann Schwartz
Vivian Lai
Yiming Zhang
Chacha Chen
Q. Vera Liao
Chenhao Tan
Bao-quan Ai
Zhi-gang Shao
Wei-rong Zhong
Jee Young Kim
William Boag
Freya Gulamali
Alifia Hasan
Henry David Jeffry Hogg
Mark Lifson
Deirdre Mulligan
Manesh Patel
Inioluwa Deborah Raji
Ajai Sehgal
Keo Shaw
Danny Tobey
Alexandra Valladares
David Vidal
Suresh Balu
Mark Sendak
András Kornai
Michael Bukatin
Zsolt Zombori
Zhang Ze Yu
Lau Jia Jaw
Wong Qin Jiang
Zhang Hui
Osonde A. Osoba
Benjamin Boudreaux
Douglas Yeung
David Higgins
Christian Johner
Nieves Montes
Carles Sierra
Tathagata Chakraborti
Subbarao Kambhampati
Richard Olaniyan
Muthucumaru Maheswaran
Vinodkumar Prabhakaran
Margaret Mitchell
Timnit Gebru
Iason Gabriel
Kristen W. Carlson
Shakir Mohamed
Marie-Therese Png
William Isaac
Jiacheng Wang
Hongyang Du
Dusit Niyato
Zehui Xiong
Jiawen Kang
Shiwen Mao
Xuemin
Shen
Souradip Chakraborty
Amrit Singh Bedi
Sicheng Zhu
Bang An
Dinesh Manocha
Furong Huang
Yotam Wolf
Noam Wies
Oshri Avnery
Yoav Levine
Amnon Shashua
Lance Eliot
Francesco Sovrano
Fabio Vitali
Monica Palmirani
Anirudh Sundar
Larry Heck
Inioluwa Deborah Raji
I. Elizabeth Kumar
Aaron Horowitz
Andrew D. Selbst
Abdolvahab Khademi
Hengyuan Hu
Dorsa Sadigh
